codigo_estacao,latitude,longitude,n_dias,inmet_p95,inmet_p99,inmet_max,era5_p95,era5_p99,era5_max
A743,-21.775,-54.5281,5759,15.81001,19.5,30.8,13.336921,16.543505,21.7475
A744,-22.9492,-46.5261,2692,13.8,18.309008,42.3,13.611235,16.770126,25.1479
A745,-24.0478,-46.2633,1079,18.8,21.3,24.2,12.18982,14.326426,16.6656
A746,-24.9628,-48.4164,4901,10.4,13.1,20.4,12.7505,16.1998,25.6477
A747,-21.3383,-48.1139,6339,15.7,20.1,26.2,11.833961,13.9477825,22.2473
A748,-20.5592,-48.545,5111,11.45,14.3,23.0,11.2851,13.127691,18.4319
A749,-22.8572,-54.6056,5023,14.3,17.678028,23.4,13.62684,17.05779,22.04
A750,-23.0025,-55.3294,4940,15.2,19.5,24.4,13.864918,17.381401,21.5666
A751,-23.9669,-55.0242,5620,14.9,18.8,25.0,13.564715,16.530622,22.0948
A752,-23.4494,-54.1819,5579,15.71001,20.244043,24.9,12.88099,15.916499,20.7449
A753,-20.3597,-47.7753,5685,13.6,17.716017,25.0,11.52312,13.072322,17.4661
A754,-20.9817,-54.9719,5592,14.344971,17.708984,41.6,13.876504,17.097708,22.9628
A755,-23.5239,-46.8694,4203,13.18999,17.397997,29.2,14.152189,17.529266,25.4478
A756,-20.4444,-52.8758,5223,14.589991,18.5,24.8,11.99429,14.711699,24.6791
A757,-22.1017,-56.5408,2932,14.7,18.2,24.2,14.40309,17.84346,20.7543
A758,-21.4786,-56.1378,4872,13.3,16.4,23.9,14.428048,17.537886,22.1414
A759,-21.75,-52.4714,3872,15.8,20.358007,26.0,11.992544,14.550977,22.3519
A760,-18.4928,-53.1714,4609,15.9,20.391993,25.0,11.60838,13.504571,20.1443
A761,-17.6353,-54.7606,4206,16.0,19.9,24.7,11.5691,13.392328,21.4506
A762,-21.4578,-51.5522,2254,16.234985,21.1,41.3,12.263096,14.122039,19.1877
A763,-22.2353,-49.965,2450,12.3,15.351001,33.8,12.642707,14.83672,22.8392
A764,-20.9481,-48.4714,2510,13.2,16.690992,25.5,11.5196495,13.544038,19.3187
A765,-23.8447,-46.1433,2307,12.3,18.393993,27.2,13.6934395,17.394793,23.9613
A766,-24.5331,-47.8642,1619,11.6,14.8,38.4,11.48886,14.024943,18.4684
A767,-23.8108,-45.4025,971,15.65,20.289997,28.4,11.878099,14.096238,14.9618
A768,-21.9272,-50.4903,2643,14.4,18.316015,26.3,12.30527,14.326146,22.9828
A769,-22.6889,-45.0056,2400,13.6,19.0,27.9,10.690915,13.580127,18.4862
A770,-21.4611,-47.5794,2289,13.859985,16.8,22.8,11.766674,14.007351,17.056
A771,-23.7244,-46.6775,2636,12.3,15.265015,29.9,14.11495,17.886614,27.0269
A801,-30.0536,-51.1747,9011,13.4,17.0,33.2,14.2682495,17.554123,27.0826
A802,-32.0789,-52.1678,7444,16.6,20.4,31.7,16.18824,19.581501,28.0729
A803,-29.725,-53.7206,7809,15.2,20.1,26.3,13.920401,17.226904,24.916
A804,-30.7506,-55.4014,7054,15.7,20.2,32.3,14.463495,17.354193,26.5682
A805,-27.8544,-53.7911,7429,15.7,20.6,39.6,14.152242,17.416197,25.0203
A806,-27.6025,-48.62,7670,13.9,16.231007,34.5,13.821119,16.32575,23.3892
A807,-25.4486,-49.2306,7096,14.0,17.6,26.7,13.921875,17.103283,25.2115
A808,-29.3503,-49.7333,6446,16.0,19.2,31.2,13.452024,16.01467,23.8415
A809,-29.84,-57.0819,6195,16.2,20.3,28.4,14.548519,16.894466,24.8472
A810,-27.8906,-54.48,5983,14.5,19.818016,36.6,14.04159,16.824688,24.192
A811,-31.4033,-52.7008,6472,18.5,22.529003,37.1,15.197485,18.637579,27.3946
A814,-28.5325,-49.3153,5651,11.7,15.35,33.1,12.993851,15.42765,24.3837
A815,-28.2756,-49.9347,6278,15.6,19.4,30.1,16.590929,20.63782,28.4178
A816,-26.4064,-52.8503,5461,18.2,22.6,37.7,14.6964,18.70339,23.839
A817,-26.9136,-49.2681,6105,13.5,18.2,35.1,12.174739,15.39281,24.564
A818,-25.0108,-50.8539,6388,13.2,16.912989,24.9,12.87086,15.886195,22.8988
A819,-24.78,-50.0464,5734,14.0,18.066992,25.6,14.341366,17.641085,25.2398
A820,-24.5333,-54.0192,6790,16.7,22.010986,34.6,13.442094,15.9502325,21.3517
